month_id,department_id,region_id,category_id,budget_amount
202401,D01,R01,C01,140712.2
202401,D01,R01,C02,99281.79
202401,D01,R01,C03,60752.46
202401,D01,R01,C06,14390.59
202401,D01,R01,C07,11466.52
202401,D01,R02,C01,151357.71
202401,D01,R02,C02,99881.97
202401,D01,R02,C03,67704.09
202401,D01,R02,C06,15833.5
202401,D01,R02,C07,13334.29
202401,D01,R03,C01,128884.91
202401,D01,R03,C02,94490.94
202401,D01,R03,C03,58281.43
202401,D01,R03,C06,13148.08
202401,D01,R03,C07,10922.31
202401,D01,R04,C01,124189.66
202401,D01,R04,C02,83826.27
202401,D01,R04,C03,53569.79
202401,D01,R04,C06,12737.72
202401,D01,R04,C07,10464.38
202401,D02,R01,C02,80692.59
202401,D02,R01,C03,48076.98
202401,D02,R01,C04,29302.99
202401,D02,R01,C06,11810.04
202401,D02,R01,C07,9931.18
202401,D02,R02,C02,90283.27
202401,D02,R02,C03,53214.84
202401,D02,R02,C04,32964.36
202401,D02,R02,C06,13288.68
202401,D02,R02,C07,10474.84
202401,D02,R03,C02,76625.3
202401,D02,R03,C03,45820.15
202401,D02,R03,C04,27192.25
202401,D02,R03,C06,11881.95
202401,D02,R03,C07,9917.49
202401,D02,R04,C02,74034.91
202401,D02,R04,C03,44010.46
202401,D02,R04,C04,25848.93
202401,D02,R04,C06,10971.47
202401,D02,R04,C07,8923.77
202401,D03,R01,C03,45704.68
202401,D03,R01,C06,11394.5
202401,D03,R01,C07,9057.67
202401,D03,R02,C03,54388.7
202401,D03,R02,C06,12237.51
202401,D03,R02,C07,10619.84
202401,D03,R03,C03,44275.35
202401,D03,R03,C06,10851.73
202401,D03,R03,C07,9067.16
202401,D03,R04,C03,41402.75
202401,D03,R04,C06,10741.79
202401,D03,R04,C07,8785.24
202401,D04,R01,C03,44628.86
202401,D04,R01,C07,8887.58
202401,D04,R01,C08,6906.96
202401,D04,R02,C03,49008.86
202401,D04,R02,C07,9017.98
202401,D04,R02,C08,7295.26
202401,D04,R03,C03,38765.55
202401,D04,R03,C07,7980.62
202401,D04,R03,C08,6425.66
202401,D04,R04,C03,37595.27
202401,D04,R04,C07,7947.96
202401,D04,R04,C08,6067.82
202401,D05,R01,C03,39490.52
202401,D05,R01,C07,8109.48
202401,D05,R01,C08,6228.04
202401,D05,R02,C03,45754.63
202401,D05,R02,C07,8504.59
202401,D05,R02,C08,7451.98
202401,D05,R03,C03,39400.48
202401,D05,R03,C07,7440.13
202401,D05,R03,C08,5833.54
202401,D05,R04,C03,37483.81
202401,D05,R04,C07,7417.83
202401,D05,R04,C08,5947.14
202401,D06,R01,C03,46349.11
202401,D06,R01,C05,21601.44
202401,D06,R01,C06,10676.72
202401,D06,R01,C07,8678.32
202401,D06,R01,C08,7482.16
202401,D06,R02,C03,50249.52
202401,D06,R02,C05,24399.06
202401,D06,R02,C06,11393.07
202401,D06,R02,C07,9739.85
202401,D06,R02,C08,7803.16
202401,D06,R03,C03,43853.04
202401,D06,R03,C05,21729.22
202401,D06,R03,C06,10686.88
202401,D06,R03,C07,8549.93
202401,D06,R03,C08,6598.08
202401,D06,R04,C03,41478.54
202401,D06,R04,C05,20835.81
202401,D06,R04,C06,9806.73
202401,D06,R04,C07,8342.59
202401,D06,R04,C08,6493.97
202402,D01,R01,C01,145830.76
202402,D01,R01,C02,96297.15
202402,D01,R01,C03,57747.85
202402,D01,R01,C06,13979.48
202402,D01,R01,C07,11556.86
202402,D01,R02,C01,162233.25
202402,D01,R02,C02,104719.18
202402,D01,R02,C03,66744.66
202402,D01,R02,C06,16657.31
202402,D01,R02,C07,13003.12
202402,D01,R03,C01,136986.27
202402,D01,R03,C02,94504.9
202402,D01,R03,C03,56031.8
202402,D01,R03,C06,13237.78
202402,D01,R03,C07,11276.57
202402,D01,R04,C01,126513.69
202402,D01,R04,C02,91051.26
202402,D01,R04,C03,56243.68
202402,D01,R04,C06,13269.69
202402,D01,R04,C07,11317.86
202402,D02,R01,C02,83954.32
202402,D02,R01,C03,49328.86
202402,D02,R01,C04,31754.46
202402,D02,R01,C06,12270.08
202402,D02,R01,C07,10498.13
202402,D02,R02,C02,93178.09
202402,D02,R02,C03,54998.0
202402,D02,R02,C04,32299.87
202402,D02,R02,C06,13078.43
202402,D02,R02,C07,11121.84
202402,D02,R03,C02,79867.63
202402,D02,R03,C03,50123.92
202402,D02,R03,C04,27596.07
202402,D02,R03,C06,11623.38
202402,D02,R03,C07,9595.84
202402,D02,R04,C02,71294.16
202402,D02,R04,C03,44090.25
202402,D02,R04,C04,27052.95
202402,D02,R04,C06,11486.99
202402,D02,R04,C07,9004.44
202402,D03,R01,C03,48591.13
202402,D03,R01,C06,11876.31
202402,D03,R01,C07,9567.72
202402,D03,R02,C03,55866.96
202402,D03,R02,C06,13396.12
202402,D03,R02,C07,10405.15
202402,D03,R03,C03,46062.32
202402,D03,R03,C06,10837.81
202402,D03,R03,C07,9016.73
202402,D03,R04,C03,41628.51
202402,D03,R04,C06,10590.78
202402,D03,R04,C07,8732.34
202402,D04,R01,C03,41692.2
202402,D04,R01,C07,8536.76
202402,D04,R01,C08,7269.13
202402,D04,R02,C03,46764.51
202402,D04,R02,C07,9261.99
202402,D04,R02,C08,7674.3
202402,D04,R03,C03,43481.37
202402,D04,R03,C07,8079.57
202402,D04,R03,C08,6749.01
202402,D04,R04,C03,40312.77
202402,D04,R04,C07,7650.86
202402,D04,R04,C08,6429.05
202402,D05,R01,C03,40679.94
202402,D05,R01,C07,8354.09
202402,D05,R01,C08,6684.08
