month_id,department_id,region_id,category_id,actual_amount
202401,D01,R01,C01,142935.13
202401,D01,R01,C02,100712.57
202401,D01,R01,C03,61328.93
202401,D01,R01,C06,14681.53
202401,D01,R01,C07,11153.35
202401,D01,R02,C01,155969.53
202401,D01,R02,C02,102853.21
202401,D01,R02,C03,65154.34
202401,D01,R02,C06,16246.21
202401,D01,R02,C07,12938.39
202401,D01,R03,C01,127184.85
202401,D01,R03,C02,96331.69
202401,D01,R03,C03,56699.72
202401,D01,R03,C06,13482.53
202401,D01,R03,C07,11212.52
202401,D01,R04,C01,124263.85
202401,D01,R04,C02,80516.04
202401,D01,R04,C03,52657.12
202401,D01,R04,C06,12856.87
202401,D01,R04,C07,10867.21
202401,D02,R01,C02,81543.5
202401,D02,R01,C03,47153.15
202401,D02,R01,C04,29617.13
202401,D02,R01,C06,11847.82
202401,D02,R01,C07,10153.52
202401,D02,R02,C02,87444.62
202401,D02,R02,C03,54326.08
202401,D02,R02,C04,33073.19
202401,D02,R02,C06,13780.88
202401,D02,R02,C07,10342.33
202401,D02,R03,C02,77438.28
202401,D02,R03,C03,47403.8
202401,D02,R03,C04,26327.56
202401,D02,R03,C06,12297.56
202401,D02,R03,C07,10066.56
202401,D02,R04,C02,71475.3
202401,D02,R04,C03,43309.69
202401,D02,R04,C04,26279.41
202401,D02,R04,C06,10591.73
202401,D02,R04,C07,8982.43
202401,D03,R01,C03,45141.17
202401,D03,R01,C06,11504.72
202401,D03,R01,C07,8728.51
202401,D03,R02,C03,56005.29
202401,D03,R02,C06,12701.06
202401,D03,R02,C07,11018.19
202401,D03,R03,C03,45159.62
202401,D03,R03,C06,10530.59
202401,D03,R03,C07,9254.5
202401,D03,R04,C03,39828.08
202401,D03,R04,C06,10331.13
202401,D03,R04,C07,8661.27
202401,D04,R01,C03,44618.72
202401,D04,R01,C07,8935.65
202401,D04,R01,C08,6932.28
202401,D04,R02,C03,48955.84
202401,D04,R02,C07,8977.15
202401,D04,R02,C08,7367.79
202401,D04,R03,C03,38708.32
202401,D04,R03,C07,7972.86
202401,D04,R03,C08,6382.43
202401,D04,R04,C03,37816.94
202401,D04,R04,C07,7978.75
202401,D04,R04,C08,6033.93
202401,D05,R01,C03,38171.16
202401,D05,R01,C07,8226.58
202401,D05,R01,C08,6305.02
202401,D05,R02,C03,44924.68
202401,D05,R02,C07,8811.34
202401,D05,R02,C08,7243.96
202401,D05,R03,C03,39187.2
202401,D05,R03,C07,7704.17
202401,D05,R03,C08,5796.08
202401,D05,R04,C03,37899.21
202401,D05,R04,C07,7357.06
202401,D05,R04,C08,5839.72
202401,D06,R01,C03,48143.66
202401,D06,R01,C05,21444.76
202401,D06,R01,C06,11013.33
202401,D06,R01,C07,8490.84
202401,D06,R01,C08,7310.43
202401,D06,R02,C03,48364.7
202401,D06,R02,C05,24695.1
202401,D06,R02,C06,11273.24
202401,D06,R02,C07,10023.75
202401,D06,R02,C08,7786.44
202401,D06,R03,C03,45495.58
202401,D06,R03,C05,21182.56
202401,D06,R03,C06,11002.03
202401,D06,R03,C07,8739.12
202401,D06,R03,C08,6741.09
202401,D06,R04,C03,42622.63
202401,D06,R04,C05,21270.9
202401,D06,R04,C06,9905.75
202401,D06,R04,C07,8096.48
202401,D06,R04,C08,6251.11
202402,D01,R01,C01,150740.56
202402,D01,R01,C02,97195.8
202402,D01,R01,C03,59117.8
202402,D01,R01,C06,13958.82
202402,D01,R01,C07,11203.04
202402,D01,R02,C01,157368.66
202402,D01,R02,C02,106273.76
202402,D01,R02,C03,66372.52
202402,D01,R02,C06,16258.23
202402,D01,R02,C07,12994.38
202402,D01,R03,C01,132210.48
202402,D01,R03,C02,95124.64
202402,D01,R03,C03,54996.3
202402,D01,R03,C06,13552.9
202402,D01,R03,C07,11105.49
202402,D01,R04,C01,113454.42
202402,D01,R04,C02,78744.47
202402,D01,R04,C03,54319.91
202402,D01,R04,C06,13155.56
202402,D01,R04,C07,11299.7
202402,D02,R01,C02,84626.09
202402,D02,R01,C03,48506.7
202402,D02,R01,C04,32249.78
202402,D02,R01,C06,12623.58
202402,D02,R01,C07,10733.16
202402,D02,R02,C02,89746.29
202402,D02,R02,C03,54912.23
202402,D02,R02,C04,31279.01
202402,D02,R02,C06,12808.54
202402,D02,R02,C07,11554.85
202402,D02,R03,C02,77583.39
202402,D02,R03,C03,50119.46
